year;countryName;deaths;intervaldeath;injuries;intervalinjuries;damagemillionsdollars;intervaldamagemillionsdollars;depth;intervaldepth;magnitude;intervalmagnitude;temperature;intervaltemperature;sealevelrise;intervalsealevelrise;co2emissions;intervalco2;povertylevel;intervalpovertylevel;populationdensity;intervalpopulationdensity;intensity;sismicscore
1738;China;336;0-1000;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1739;China;50000;10000-100000;;Not specified;;Not specified;;Not specified;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;7.37337430991005
1742;Russia;;Not specified;;Not specified;;Not specified;40;10-50;7.7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.12249280951439
1746;Peru;1141;1000-10000;;Not specified;;Not specified;30;10-50;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;6.35957386867238
1748;China;15;0-1000;34;0-100;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1748;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1748;Greece;;Not specified;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;5.2257466737132
1748;China;5;0-1000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1748;China;40;0-1000;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1750;China;37;0-1000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1751;Japan;2100;1000-10000;;Not specified;;Not specified;;Not specified;6.46;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1751;Chile;65;0-1000;;Not specified;;Not specified;;Not specified;7.6;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;6.85646198459459
1751;China;900;0-1000;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1755;China;270;0-1000;80;0-100;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1755;China;70;0-1000;20;0-100;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1755;Ecuador;;Not specified;;Not specified;;Not specified;;Not specified;7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;5.11198778835654
1757;Ecuador;1000;1000-10000;;Not specified;;Not specified;;Not specified;7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;5.11198778835654
1757;Indonesia;;Not specified;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;7.31455283232408
1759;Israel;;Not specified;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;0
1761;China;120;0-1000;120;100-500;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1761;China;50;0-1000;30;0-100;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1763;China;1000;1000-10000;;Not specified;;Not specified;;Not specified;6.5;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1764;Honduras;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;2.484906649788
1765;China;2068;1000-10000;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1766;Japan;1700;1000-10000;;Not specified;;Not specified;;Not specified;6.66;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1769;Russia;;Not specified;;Not specified;;Not specified;40;10-50;7.3;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.12249280951439
1770;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1776;Taiwan;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;
1779;Iran;10000;10000-100000;;Not specified;;Not specified;;Not specified;6.5;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.56807791141198
1780;Iran;50000;10000-100000;;Not specified;;Not specified;20;10-50;7.7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.56807791141198
1782;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.92;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1783;Italy;30000;10000-100000;;Not specified;;Not specified;13;10-50;6.66;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;4.93447393313069
1783;Italy;;Not specified;;Not specified;;Not specified;;Not specified;6.46;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;4.93447393313069
1783;Italy;;Not specified;;Not specified;;Not specified;;Not specified;5.95;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;4.93447393313069
1783;Italy;;Not specified;;Not specified;;Not specified;;Not specified;6.66;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;4.93447393313069
1784;Peru;383;0-1000;;Not specified;;Not specified;;Not specified;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.35957386867238
1785;China;36;0-1000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1786;China;435;0-1000;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1786;China;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1787;Mexico;11;0-1000;;Not specified;;Not specified;;Not specified;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1789;China;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1789;China;;Not specified;;Not specified;;Not specified;;Not specified;5.2;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;6;7.37337430991005
1791;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1791;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1792;Japan;15030;10000-100000;707;500-2000;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1792;Taiwan;252;0-1000;432;100-500;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;
1792;China;205;0-1000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1793;China;200;0-1000;30;0-100;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1795;Guinea;;Not specified;;Not specified;;Not specified;;Not specified;5.2;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;5;0.693147180559945
1796;Chile;;Not specified;;Not specified;;Not specified;;Not specified;7.7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;6.85646198459459
1797;Ecuador;40000;10000-100000;;Not specified;;Not specified;;Not specified;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;5.11198778835654
1799;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1799;China;2000;1000-10000;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1799;Colombia;;Not specified;;Not specified;;Not specified;;Not specified;5.2;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;5.15905529921453
1799;Uzbekistan;;Not specified;;Not specified;;Not specified;10;10-50;6;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;3.46573590279973
1800;Iran;;Not specified;;Not specified;;Not specified;;Not specified;6.5;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56807791141198
1802;Romania;;Not specified;;Not specified;;Not specified;150;50-410;7.4;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;3.61091791264422
1803;China;200;0-1000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1803;India;;Not specified;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.15905529921453
1804;Japan;450;0-1000;;Not specified;;Not specified;;Not specified;6.92;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1806;Mexico;;Not specified;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1806;China;100;0-1000;;Not specified;;Not specified;;Not specified;7.16;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;7.37337430991005
1806;Peru;;Not specified;;Not specified;;Not specified;30;10-50;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.35957386867238
1808;Italy;2;0-1000;;Not specified;;Not specified;;Not specified;5.79;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;4.93447393313069
1811;China;480;0-1000;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1811;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;6.52209279817015
1811;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.52209279817015
1812;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;7.3;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.52209279817015
1812;United States of America;;Not specified;1;0-100;;Not specified;;Not specified;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.52209279817015
1812;China;;Not specified;;Not specified;;Not specified;;Not specified;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;7.37337430991005
1812;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.6;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1812;United States of America;40;0-1000;;Not specified;;Not specified;;Not specified;6.9;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.52209279817015
1814;China;4;0-1000;;Not specified;;Not specified;;Not specified;5.46;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1814;China;900;0-1000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1815;China;13000;10000-100000;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1816;Guatemala;23;0-1000;;Not specified;;Not specified;33;10-50;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;4.66343909411207
1816;China;2854;1000-10000;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1817;France;4;0-1000;;Not specified;;Not specified;;Not specified;8;8-9;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;2.30258509299405
1817;Greece;;Not specified;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;5.2257466737132
1818;Mexico;;Not specified;;Not specified;;Not specified;;Not specified;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1819;China;126;0-1000;58;0-100;;Not specified;;Not specified;5.87;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1819;Chile;;Not specified;;Not specified;;Not specified;;Not specified;8;8-9;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.85646198459459
1819;Chile;;Not specified;;Not specified;;Not specified;;Not specified;8;8-9;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.85646198459459
1819;India;1543;1000-10000;;Not specified;;Not specified;;Not specified;7.16;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;5.15905529921453
1820;Mexico;;Not specified;;Not specified;;Not specified;;Not specified;7.1;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1911;Iran;700;0-1000;;Not specified;;Not specified;50;50-410;6.53;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56807791141198
1911;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1911;Afghanistan;;Not specified;;Not specified;;Not specified;190;50-410;7.1;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.9427993751267
1911;Philippines;;Not specified;;Not specified;;Not specified;50;50-410;7.22;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.23832462503951
